Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
ATVI,"Activision Blizzard, Inc",12.645,14198653215,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
BIRT,Actuate Corporation,6.85,333608700,n/a,1998,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/birt
ACUR,"Acura Pharmaceuticals, Inc.",2.81,127346390,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur
ACXM,Acxiom Corporation,13.02,1018007760,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADES,"ADA-ES, Inc.",29.17,282219750,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
ADGF,"Adams Golf, Inc.",10.78,84137900,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/adgf
ADUS,Addus HomeCare Corporation,4.408,47496200,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",2.46,25109220,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
ADEP,"Adept Technology, Inc.",5.78,55956180,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep
ADBE,Adobe Systems Incorporated,32.2,15900456600,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",30.24,1929977280,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
AEIS,"Advanced Energy Industries, Inc.",13.37,583734200,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
ADVS,"Advent Software, Inc.",27.1,1382452300,n/a,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs
AVCA,"Advocat, Inc.",6.82,39740140,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/avca
AEGR,"Aegerion Pharmaceuticals, Inc.",13.89,294398550,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/aegr
AEGN,Aegion Corp,17.83,701432200,n/a,2000,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/aegn
AEHR,Aehr Test Systems,1.3,11475100,n/a,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AEPI,AEP Industries Inc.,34.06,187704660,n/a,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi
AVAV,"AeroVironment, Inc.",23.13,511242390,n/a,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,0.56,60920720,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
ATRM,Aetrium Incorporated,0.65,7007650,n/a,1993,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/atrm
AFCE,"AFC Enterprises, Inc.",17.83,434588420,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/afce
AFFM,"Affirmative Insurance Holdings, Inc.",0.4302,6628521.6,n/a,2004,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/affm
AFFY,"Affymax, Inc.",14.36,513082800,n/a,2006,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/affy
AFFX,"Affymetrix, Inc.",5.07,357171360,n/a,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx
AGEN,Agenus Inc.,5.73,122937150,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGYS,"Agilysys, Inc.",8.73,191082240,n/a,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/agys
AIRM,Air Methods Corporation,93.09,1182987720,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm
AIRT,"Air T, Inc.",9.5,23237000,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",5.58,357505020,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AMCN,AirMedia Group Inc,2.61,163448640,n/a,1995,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AIXG,Aixtron SE,16.89,1719233100,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg
AKAM,"Akamai Technologies, Inc.",31.17,5542057170,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKRX,"Akorn, Inc.",12.75,1209171750,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
ALSK,"Alaska Communications Systems Group, Inc.",2.25,101722500,n/a,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
AMRI,"Albany Molecular Research, Inc.",3.04,93145600,n/a,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
ALXN,"Alexion Pharmaceuticals, Inc.",86.29,16049335970,n/a,1996,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
ALXA,"Alexza Pharmaceuticals, Inc.",0.42,48777120,n/a,2006,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa
ALCO,"Alico, Inc.",22.47,165132030,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",30.8,2444565200,n/a,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",2.7,84852900,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/alim
ALKS,Alkermes plc,18.09,2351917080,n/a,1991,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ALGT,Allegiant Travel Company,64,1221184000,n/a,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
ALLB,"Alliance Bancorp, Inc. of Pennsylvania",11.75,64319500,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/allb
ABVA,Alliance Bankshares Corporation,4.5,22995000,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/abva
AFOP,"Alliance Fiber Optic Products, Inc.",8.19,72841860,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop
ALNC,Alliance Financial Corporation,30.7,146224100,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/alnc
AHGP,"Alliance Holdings GP, L.P.",43.38,2596856940,n/a,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
ARLP,"Alliance Resource Partners, L.P.",58.38,2143538460,n/a,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",3.1076,25246142.4,n/a,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",6.25,52937500,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
ALTH,"Allos Therapeutics, Inc.",1.8,190666800,n/a,2000,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alth
ALLT,Allot Communications Ltd.,23.54,745182240,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",11.08,2100468840,n/a,1999,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
